"id","printer_id","color","head","slot_serial","installed_datetime","replaced_datetime","remounted_datetime","remounted_color","remounted_head"
23859,546,3,"1","276309-06","2020-08-22 17:20:59+02","2021-06-29 18:32:26+02",NULL,NULL,NULL
5703,546,3,"2","261446-07","2019-06-17 14:38:01+02","2020-03-06 16:41:13+01",NULL,NULL,NULL
5678,546,3,"2","270346-09","2020-03-06 16:41:13+01","2020-08-22 17:35:43+02",NULL,NULL,NULL
23856,546,3,"2","275252-06","2020-08-22 17:35:43+02","2021-06-29 18:32:28+02",NULL,NULL,NULL
73462,546,3,"2","281120-09","2021-06-29 18:32:28+02","2021-09-29 00:06:33+02",NULL,NULL,NULL
5681,546,3,"3","261379-10","2020-01-30 01:26:44+01","2020-07-05 16:20:00+02",NULL,NULL,NULL
5666,546,3,"3","272103-01","2020-07-05 16:20:00+02","2020-08-22 17:35:43+02",NULL,NULL,NULL
23855,546,3,"3","275534-03","2020-08-22 17:35:43+02","2021-06-29 18:32:31+02",NULL,NULL,NULL
5702,546,3,"4","261650-10","2019-06-17 14:38:02+02","2019-10-09 14:07:36+02",NULL,NULL,NULL
5687,546,3,"4","261583-09","2019-10-09 14:07:36+02","2020-03-06 16:41:13+01",NULL,NULL,NULL
5677,546,3,"4","272134-02","2020-03-06 16:41:13+01","2020-05-21 06:12:17+02",NULL,NULL,NULL
23861,546,3,"4","276306-08","2020-08-22 16:32:40+02","2021-06-29 18:32:24+02",NULL,NULL,NULL
5701,546,3,"5","261532-10","2019-06-17 14:38:02+02","2020-03-06 16:41:13+01",NULL,NULL,NULL
5676,546,3,"5","271169-04","2020-03-06 16:41:13+01","2020-08-22 17:20:59+02",NULL,NULL,NULL
23858,546,3,"5","275548-07","2020-08-22 17:20:59+02","2021-06-29 18:32:27+02",NULL,NULL,NULL
5700,546,3,"6","261385-08","2019-06-17 14:38:02+02","2020-03-06 16:41:13+01",NULL,NULL,NULL
23860,546,3,"6","275444-09","2020-08-22 16:32:58+02","2021-06-29 18:32:29+02",NULL,NULL,NULL
5692,546,3,"7","261450-01","2019-06-17 14:38:14+02","2020-03-06 16:41:13+01",NULL,NULL,NULL
23854,546,3,"7","275539-01","2020-08-22 17:35:43+02","2021-06-29 18:32:31+02",NULL,NULL,NULL
73459,546,3,"7","281120-04","2021-06-29 18:32:31+02","2021-08-04 02:29:44+02",NULL,NULL,NULL
5672,546,4,"0","260875-05","2020-03-24 13:01:51+01","2020-12-26 17:05:35+01",NULL,NULL,NULL
5722,546,4,"1","260875-09","2019-06-17 14:38:01+02","2020-12-26 14:55:24+01",NULL,NULL,NULL
38000,546,4,"1","278466-03","2020-12-26 14:55:24+01","2021-07-24 07:06:10+02",NULL,NULL,NULL
5697,546,4,"2","261208-08","2019-06-17 14:38:14+02","2020-12-26 14:55:24+01",NULL,NULL,NULL
5696,546,4,"3","261437-04","2019-06-17 14:38:14+02","2020-12-26 15:16:51+01",NULL,NULL,NULL
5721,546,4,"4","260875-10","2019-06-17 14:38:01+02","2020-12-26 14:55:20+01",NULL,NULL,NULL
5695,546,4,"5","261983-03","2019-06-17 14:38:14+02","2019-11-21 17:50:44+01",NULL,NULL,NULL
5684,546,4,"5","270347-01","2019-11-21 17:50:44+01","2020-12-26 14:55:24+01",NULL,NULL,NULL
5694,546,4,"6","261203-05","2019-06-17 14:38:14+02","2020-10-29 14:28:08+01",NULL,NULL,NULL
12974,547,0,"0","261428-02","2019-06-06 11:20:18+02","2020-01-02 15:06:24+01",NULL,NULL,NULL
12929,547,0,"1","261382-08","2020-07-03 06:43:25+02","2021-09-03 13:37:01+02",NULL,NULL,NULL
12938,547,0,"2","261985-05","2019-12-31 16:32:32+01","2021-09-03 13:36:53+02",NULL,NULL,NULL
12965,547,0,"6","261650-02","2019-06-06 11:20:34+02","2021-05-06 10:45:49+02",NULL,NULL,NULL
12971,547,1,"0","261311-06","2019-06-06 11:20:19+02","2020-02-17 14:20:27+01",NULL,NULL,NULL
12964,547,1,"2","261093-07","2019-06-06 11:20:34+02","2021-06-12 10:58:40+02",NULL,NULL,NULL
12959,547,2,"3","261349-01","2019-06-06 11:58:58+02","2021-03-08 19:45:37+01",NULL,NULL,NULL
12958,547,2,"4","260852-02","2019-06-06 11:58:58+02","2019-12-31 07:59:02+01",NULL,NULL,NULL
12955,547,3,"0","261318-10","2019-06-06 11:58:58+02","2020-11-12 11:14:29+01",NULL,NULL,NULL
12954,547,3,"1","261427-03","2019-06-06 11:58:58+02","2020-06-03 15:56:32+02",NULL,NULL,NULL
12931,547,3,"1","274774-05","2020-06-03 15:56:32+02","2020-11-12 11:14:29+01",NULL,NULL,NULL
12943,547,3,"2","261419-09","2019-12-20 06:45:27+01","2020-11-12 11:14:29+01",NULL,NULL,NULL
12953,547,3,"3","260782-03","2019-06-06 11:58:58+02","2020-06-03 15:56:32+02",NULL,NULL,NULL
12930,547,3,"3","272812-03","2020-06-03 15:56:32+02","2020-11-12 11:14:29+01",NULL,NULL,NULL
12952,547,3,"4","261524-05","2019-06-06 11:58:58+02","2020-07-07 14:13:17+02",NULL,NULL,NULL
12928,547,3,"4","273908-08","2020-07-07 14:13:17+02","2020-11-12 11:14:29+01",NULL,NULL,NULL
12951,547,3,"5","261450-09","2019-06-06 11:58:58+02","2020-02-18 18:39:37+01",NULL,NULL,NULL
12933,547,3,"5","271427-02","2020-02-18 18:39:37+01","2020-11-12 11:14:29+01",NULL,NULL,NULL
12932,547,3,"6","270856-05","2020-02-18 18:39:37+01","2020-11-12 11:14:29+01",NULL,NULL,NULL
12948,547,4,"1","260875-01","2019-06-12 09:59:44+02","2021-05-06 11:30:28+02",NULL,NULL,NULL
12978,547,4,"6","261447-03","2019-06-06 11:20:11+02","2021-05-06 11:30:29+02",NULL,NULL,NULL
12975,547,4,"7","260795-10","2019-06-06 11:20:18+02","2022-02-17 00:42:54+01",NULL,NULL,NULL
16721,550,1,"0","262044-05","2019-04-24 07:15:01+02","2020-04-10 07:45:18+02",NULL,NULL,NULL
16719,550,1,"2","261627-10","2019-04-24 07:15:01+02","2021-06-05 09:56:32+02",NULL,NULL,NULL
16771,550,2,"2","261532-05","2019-04-23 13:28:31+02","2019-09-19 13:52:54+02",NULL,NULL,NULL
16777,550,3,"0","261943-03","2019-04-23 13:28:26+02","2020-06-29 17:06:10+02",NULL,NULL,NULL
16702,550,3,"0","275116-07","2020-06-29 17:06:10+02","2020-10-13 16:38:11+02",NULL,NULL,NULL
29056,550,3,"0","274607-07","2020-10-13 16:38:11+02","2021-09-13 11:18:34+02",NULL,NULL,NULL
16707,550,3,"1","275110-05","2020-06-29 17:02:15+02","2020-10-13 16:38:11+02",NULL,NULL,NULL
29055,550,3,"1","277749-02","2020-10-13 16:38:11+02","2021-08-10 13:24:02+02",NULL,NULL,NULL
16785,550,3,"2","261992-06","2019-04-23 13:28:14+02","2020-10-13 16:38:11+02",NULL,NULL,NULL
